filevar,filevarFN,freq,vardesc,units,varunits,clim_type,id,
clt,clt,_day_,Cloud Fraction, %,%^2,percent,2,
hfss,hfss,_day_,Sensible Heat Flux,( W/m^2 ),( (W/m^2)^2 ),interval,3,
hfls,hfls,_day_,Latent Heat Flux,( W/m^2 ),( (W/m^2)^2 ),interval,4,
pr,pr,_day_,Precipitation,( kg/m^2s ),( (kg/m^2s)^2 ),ratio,5,
rsds,rsds,_day_,Surface Downwelling Shortwave Radiation,( W/m^2 ),( (W/m^2)^2 ),ratio,6,
rsus,rsus,_day_,Surface Upwelling Shortwave Radiation,( W/m^2 ),( (W/m^2)^2 ),ratio,7,
rlds,rlds,_day_,Surface Downwelling Longwave Radiation,( W/m^2 ),( (W/m^2)^2 ),ratio,8,
rlus,rlus,_day_,Surface Upwelling Longwave Radiation,( W/m^2 ),( (W/m^2 )^2),ratio,9,
rlut,rlut,_day_,TOA Upwelling Longwave Radiation,( W/m^2 ),( (W/m^2)^2 ),ratio,10,
tas,tas,_day_,Near-Surface Air Temperature,( K ),( K^2 ),temp,11,
tasmax,tasmax,_day_,Max Near-Surface Air Temperature,( K ),( K^2 ),temp,12,
tasmin,tasmin,_day_,Min Near-Surface Air Temperature,( K ),( K^2 ),temp,13,
rnets,rnets,_day_,Surface Net Radiation,( W/m^2 ),( (W/m^2)^2 ),interval,14,
rlut,rlut,_Amon_,TOA Upwelling Longwave Radiation,( W/m^2 ),( (W/m^2)^2 ),ratio,15,
rsut,rsut,_Amon_,TOA Upwelling Longwave Radiation,( W/m^2 ),( (W/m^2)^2 ),ratio,16,
rsdt,rsdt,_Amon_,TOA Downwelling Shortwave Radiation,( W/m^2 ),( (W/m^2)^2 ),ratio,17,
rnett,rnett,_Amon_,TOA Net Radiation,( W/m^2 ),( (W/m^2)^2 ),interval,18,
mrso,mrso,_Lmon_,Total Soil Moisture,( kg/m^2 ),( (kg/m^2)^2 ),ratio,19,
pr,pr,_Amon_,Precipitation,( kg/m^2s ),( (kg/m^2s)^2 ),ratio,20,
va,va500,_day_,500mb Northward Wind,( m/s ),( (m/s)^2 ),interval,21,
va,va850,_day_,850mb Northward Wind,( m/s ),( (m/s)^2 ),interval,22,
ua,ua500,_day_,500mb Eastward Wind,( m/s ),( (m/s)^2 ),interval,23,
ua,ua850,_day_,850mb Eastward Wind,( m/s ),( (m/s)^2 ),interval,24,
cl,cllow,_Amon_,Low Cloud Cover, %,%^2,percent,25,
cl,clmed,_Amon_,Med Cloud Cover, %,%^2,percent,26,
cl,clhi,_Amon_,High Cloud Cover,  %,%^2,percent,27,
ta,ta850,_day_,850mb Air Temperature,( K ),( K^2 ),temp,28,
prect,prect,_Amon_,Total Precipitation Rate,( cm/yr ),( (cm/yr)^2) ),ratio,29,
